dimension_id,dimension_label,id,label,periodo_regulatorio,regime_regulatorio,meses_com_dados,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,compensacao_anualizada,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,share_serv_periodo,suppressed_low_volume,selector_enabled
economico,Grupo Econômico,cooperalianca,Grupo Cooperalianca,pos_2022,REN_1000,40,523939,130,17930.73,5379.218999999999,571161,0.0002481204873086371,22.760657677957703,0.03139347749583742,0.0003473760022056966,False,True
economico,Grupo Econômico,coopercocal,Grupo Coopercocal,operacional_2023_plus,REN_1000,40,115473,6,1234.07,370.221,152790,5.1960198487958224e-05,3.92695857058708,0.008076902938673997,7.655957869656278e-05,False,True
economico,Grupo Econômico,coopercocal,Grupo Coopercocal,pos_2022,REN_1000,40,115473,6,1234.07,370.221,152790,5.1960198487958224e-05,3.92695857058708,0.008076902938673997,7.655957869656278e-05,False,True
economico,Grupo Econômico,cooperluz,Grupo Cooperluz,operacional_2023_plus,REN_1000,40,121563,16,1181.47,354.44100000000003,221251,0.00013161899591158493,7.231605732855445,0.005339953265747951,8.059730036536905e-05,False,True
economico,Grupo Econômico,cooperluz,Grupo Cooperluz,pos_2022,REN_1000,40,121563,16,1181.47,354.44100000000003,221251,0.00013161899591158493,7.231605732855445,0.005339953265747951,8.059730036536905e-05,False,True
economico,Grupo Econômico,coopermila,Grupo Coopermila,operacional_2023_plus,REN_1000,40,2938,13,3233.68,970.104,17806,0.004424778761061947,73.00909805683477,0.18160620015725035,1.9479189265932422e-06,False,True
economico,Grupo Econômico,coopermila,Grupo Coopermila,pos_2022,REN_1000,40,2938,13,3233.68,970.104,17806,0.004424778761061947,73.00909805683477,0.18160620015725035,1.9479189265932422e-06,False,True
economico,Grupo Econômico,coopernorte,Grupo Coopernorte,operacional_2023_plus,REN_1000,40,200372,132,23977.99,7193.397,83715,0.0006587746790968798,157.67783551334887,0.28642405781520636,0.0001328483359970528,False,True
economico,Grupo Econômico,coopernorte,Grupo Coopernorte,pos_2022,REN_1000,40,200372,132,23977.99,7193.397,83715,0.0006587746790968798,157.67783551334887,0.28642405781520636,0.0001328483359970528,False,True
economico,Grupo Econômico,coopersul,Grupo Coopersul,operacional_2023_plus,REN_1000,28,53623,372,65718.17000000001,28164.930000000004,40172,0.006937321671670738,926.0181220750771,1.6359197948820077,3.555250394850559e-05,False,True
economico,Grupo Econômico,coopersul,Grupo Coopersul,pos_2022,REN_1000,28,53623,372,65718.17000000001,28164.930000000004,40172,0.006937321671670738,926.0181220750771,1.6359197948820077,3.555250394850559e-05,False,True
