group_id,group_label,distributor_id,distributor_label,ano,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,escopo_servico
cerpro,Grupo Cerpro,cerpro,Cerpro — COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE PROMISSÃO,2025,1628,2,597.1600000000001,26244,0.0012285012285012285,7.620789513793629,0.02275415333028502,sem_cod_69_93
cerrp,Grupo Cerrp,cerrp,Cerrp — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO,2023,1849,16,0.0,62892,0.008653326122228232,25.440437575526303,0.0,sem_cod_69_93
cerrp,Grupo Cerrp,cerrp,Cerrp — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO,2024,1532,6,0.0,42519,0.0039164490861618795,14.111338460452973,0.0,sem_cod_69_93
cerrp,Grupo Cerrp,cerrp,Cerrp — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO,2025,1420,1,0.0,39714,0.0007042253521126761,2.518003726645515,0.0,sem_cod_69_93
cersad,Grupo Cersad,cersad,Cersad — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,2023,394,0,0.0,16531,0.0,0.0,0.0,sem_cod_69_93
cersad,Grupo Cersad,cersad,Cersad — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,2024,260,12,1240.42,16848,0.046153846153846156,71.22507122507123,0.07362416904083571,sem_cod_69_93
cersad,Grupo Cersad,cersad,Cersad — COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SALTO DONNER,2025,263,6,332.31,17261,0.022813688212927757,34.76044261630265,0.019252071143039222,sem_cod_69_93
cersul,Grupo Cersul,cersul,Cersul — COOPERATIVA DE DISTRIBUIÇÃOI DE ENERGIA,2023,6826,18,5812.81,222624,0.002636976267213595,8.085381630012938,0.026110437329308612,sem_cod_69_93
cersul,Grupo Cersul,cersul,Cersul — COOPERATIVA DE DISTRIBUIÇÃOI DE ENERGIA,2024,8007,18,550.24,224524,0.0022480329711502436,8.016960324954125,0.002450695694001532,sem_cod_69_93
cersul,Grupo Cersul,cersul,Cersul — COOPERATIVA DE DISTRIBUIÇÃOI DE ENERGIA,2025,9500,5,1274.67,226782,0.0005263157894736842,2.2047605189124355,0.005620684181284229,sem_cod_69_93
certaja,Grupo Certaja,certaja_energia,Certaja Energia — COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUÍ,2023,13304,35,0.0,316205,0.002630787733012628,11.068768678547144,0.0,sem_cod_69_93
certaja,Grupo Certaja,certaja_energia,Certaja Energia — COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUÍ,2024,10828,108,9420.78,293925,0.009974141115626155,36.7440673641235,0.03205164582801735,sem_cod_69_93
certaja,Grupo Certaja,certaja_energia,Certaja Energia — COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUÍ,2025,17343,43,2441.8199999999997,243207,0.0024793864959926195,17.680412159189498,0.010040089306640021,sem_cod_69_93
