group_id,group_label,distributor_id,distributor_label,ano,total_serv,serv_focus,share_serv_focus
cooperativa,Grupo Cooperativa,ceral_araruama,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA,2023,32048,26461.0,0.8256677483774338
cooperativa,Grupo Cooperativa,ceral_araruama,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA,2024,33548,29679.0,0.8846727077620127
cooperativa,Grupo Cooperativa,ceral_araruama,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA,2025,28912,24125.0,0.834428610957388
cooperativa,Grupo Cooperativa,ceripa,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ITAÍ-PARANAPANEMA-AVARÉ,2023,27598,24639.0,0.892782085658381
cooperativa,Grupo Cooperativa,ceripa,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ITAÍ-PARANAPANEMA-AVARÉ,2024,28149,24173.0,0.8587516430423816
cooperativa,Grupo Cooperativa,ceripa,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ITAÍ-PARANAPANEMA-AVARÉ,2025,25760,21238.0,0.8244565217391304
cooperativa,Grupo Cooperativa,ceres,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE RESENDE LTDA.,2023,7358,4977.0,0.6764066322370209
cooperativa,Grupo Cooperativa,ceres,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE RESENDE LTDA.,2024,17880,10783.0,0.603076062639821
cooperativa,Grupo Cooperativa,ceres,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE RESENDE LTDA.,2025,15990,11688.0,0.7309568480300188
cooperativa,Grupo Cooperativa,certrel,COOPERATIVA DE ENERGIA TREVISO,2023,11938,10266.0,0.8599430390350142
cooperativa,Grupo Cooperativa,certrel,COOPERATIVA DE ENERGIA TREVISO,2024,12708,11104.0,0.8737802958766132
cooperativa,Grupo Cooperativa,certrel,COOPERATIVA DE ENERGIA TREVISO,2025,11713,9818.0,0.8382139503116196
cooperativa,Grupo Cooperativa,cervam,COOPERATIVA DE ENERGIZAÇÃO E DE DESENVOLVIMENTO DO VALE DO MOGI,2023,8715,6888.0,0.7903614457831325
cooperativa,Grupo Cooperativa,cervam,COOPERATIVA DE ENERGIZAÇÃO E DE DESENVOLVIMENTO DO VALE DO MOGI,2024,11048,9173.0,0.8302860246198407
cooperativa,Grupo Cooperativa,cervam,COOPERATIVA DE ENERGIZAÇÃO E DE DESENVOLVIMENTO DO VALE DO MOGI,2025,10219,7898.0,0.7728740581270183
cooperativa,Grupo Cooperativa,cerej,COOPERATIVA DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR,2023,46985,38523.0,0.8198999680749175
cooperativa,Grupo Cooperativa,cerej,COOPERATIVA DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR,2024,56676,51440.0,0.9076152163173125
cooperativa,Grupo Cooperativa,cerej,COOPERATIVA DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR,2025,60907,55441.0,0.9102566207496675
cooperativa,Grupo Cooperativa,cooperluz,COOPERATIVA DISTRIBUIDORA DE ENERGIA FRONTEIRA NOROESTE,2023,29620,25360.0,0.8561782579338285
cooperativa,Grupo Cooperativa,cooperluz,COOPERATIVA DISTRIBUIDORA DE ENERGIA FRONTEIRA NOROESTE,2024,42461,38917.0,0.9165351734532865
cooperativa,Grupo Cooperativa,cooperluz,COOPERATIVA DISTRIBUIDORA DE ENERGIA FRONTEIRA NOROESTE,2025,41994,37253.0,0.8871029194646854
