group_id,group_label,distributor_id,distributor_label,ano_inicio,ano_fim,taxa_inicio,taxa_fim,delta_taxa_abs,delta_taxa_pct,compensacao_inicio,compensacao_fim,delta_comp_abs,delta_comp_pct
dcelt,Grupo Dcelt,dcelt,DCELT,2011,2023,0.010333489901362142,0.026647717178895008,0.016314227277532865,1.5787722669939757,106.82,783.4,676.5799999999999,6.333832615615053
demei,Grupo Demei,demei,DEMEI,2011,2023,0.005782918149466192,0.00705502922797823,0.0012721110785120383,0.21997736188423556,240.92,490.5,249.58,1.03594554208866
dmed,Grupo DMED,dmed,DMED,2011,2023,0.016498426136980354,0.01116593092703194,-0.005332495209948414,-0.32321235769246537,1071.67,3317.02,2245.35,2.095187884330064
eac,Grupo EAC,eac,EAC,2011,2022,0.125657010145459,0.07579953091048862,-0.04985747923497037,-0.396774355662736,1863.08,471040.25,469177.17,251.828783519763
ebo,Grupo EBO,ebo,EBO,2011,2022,0.040033102306817,0.023365894081309797,-0.016667208225507206,-0.41633566386557663,2741.6400000000003,30993.26,28251.62,10.30464247676573
edevp,Grupo Edevp,edevp,EDEVP,2011,2017,0.007470288624787776,0.02521588946459413,0.017745600839806353,2.375490657874078,468.46,13801.74,13333.28,28.461939119668703
edp,Grupo EDP,edp_es,EDP ES,2011,2023,0.03588653712699514,0.018784905427504706,-0.017101631699490433,-0.4765472811982735,5435.11,1109090.98,1103655.8699999999,203.06044771862943
edp,Grupo EDP,edp_sp,EDP SP,2011,2023,0.01650446432231669,0.03651358881160169,0.020009124489284998,1.2123461930375674,1104.23,2271122.93,2270018.7,2055.748077846101
eeb,Grupo EEB,eeb,EEB,2011,2017,0.0033843437316068274,0.029151943462897525,0.025767599731290697,7.613765555384852,378.4,17936.15,17557.75,46.3999735729387
efljc,Grupo Efljc,efljc,EFLJC,2011,2023,0.0,0.022429906542056073,0.022429906542056073,,0.0,106.01,106.01,
eflul,Grupo Eflul,eflul,EFLUL,2011,2023,0.0,0.000819672131147541,0.000819672131147541,,0.0,8.71,8.71,
elektro,Grupo Elektro,elektro,ELEKTRO,2011,2023,0.025083067300801357,0.007248396989127405,-0.01783467031167395,-0.7110242976983987,1972.1,691780.33,689808.23,349.783596166523
eletrocar,Grupo Eletrocar,eletrocar,ELETROCAR,2011,2023,0.06657789613848203,0.026538349372995044,-0.04003954676548699,-0.6013939924176145,3749.4300000000003,2264.87,-1484.5600000000004,-0.39594284997986373
eletropaulo,Grupo Eletropaulo,eletropaulo,ELETROPAULO,2011,2023,0.020362188880626395,0.005602756071521491,-0.014759432809104904,-0.7248450987088018,3085.15,746286.63,743201.48,240.89638429249794
elfsm,Grupo Elfsm,elfsm,ELFSM,2011,2023,0.0006155740227762388,0.005922165820642978,0.005306591797866739,8.620558375634518,10.52,0.0,-10.52,-1.0
emr,Grupo EMR,emr,EMR,2011,2022,0.010448294338274692,0.047358591248665954,0.036910296910391265,3.532662434209926,3280.34,321629.92,318349.57999999996,97.04773895388891
ems,Grupo EMS,ems,EMS,2011,2022,0.029047786521299513,0.020072033915299988,-0.008975752605999525,-0.30899953769000554,1291.97,1195227.8,1193935.83,924.1203975324505
emt,Grupo EMT,emt,EMT,2011,2022,0.010191183832896309,0.05671089429526673,0.046519710462370426,4.564701336483461,5866.59,2520048.3,2514181.71,428.55930105904787
enel,Grupo Enel,enel_ce,ENEL CE,2011,2023,0.03178035995747956,0.028388220100075353,-0.003392139857404209,-0.106736986678021,5410.73,2084213.47,2078802.74,384.20005064011696
enel,Grupo Enel,enel_rj,ENEL RJ,2011,2023,0.0033384180649678663,0.012448541918307984,0.009110123853340119,2.7288744776870257,1979.66,729929.54,727949.88,367.71459745612884
enf,Grupo ENF,enf,ENF,2011,2022,0.00812161599333611,0.03151052705948849,0.023388911066152377,2.8798346394785566,758.3100000000001,35414.04,34655.73,45.70126992918463
epb,Grupo EPB,epb,EPB,2011,2022,0.05420492698515432,0.07297848664688428,0.018773559661729958,0.3463441555206166,3570.69,547742.2,544171.51,152.39953902467028
equatorial,Grupo Equatorial,equatorial_al,EQUATORIAL AL,2011,2023,0.003609440074039796,0.020647655279264907,0.01703821520522511,4.720459366473265,644.9700000000001,770574.01,769929.04,1193.7439570832748
equatorial,Grupo Equatorial,equatorial_go,EQUATORIAL GO,2011,2023,0.020383179082098128,0.012989408352507736,-0.0073937707295903925,-0.3627388396976847,29053.25,403809.50999999995,374756.25999999995,12.898944524278694
equatorial,Grupo Equatorial,equatorial_ma,EQUATORIAL MA,2011,2023,0.025276634458870663,0.00853346036334965,-0.016743174095521014,-0.6623972872165784,5019.08,524694.62,519675.54,103.53999936243295
equatorial,Grupo Equatorial,equatorial_pa,EQUATORIAL PA,2011,2023,0.04288779402415766,0.006267605921722386,-0.036620188102435274,-0.8538603799908199,4829.33,1817384.23,1812554.9,375.322228963438
equatorial,Grupo Equatorial,equatorial_pi,EQUATORIAL PI,2011,2023,0.07549571464939327,0.04669620876415559,-0.028799505885237678,-0.3814720612816813,5016.39,3198600.02,3193583.63,636.629853340749
ero,Grupo ERO,ero,ERO,2011,2022,0.1054982245894363,0.04517512252293378,-0.06032310206650253,-0.5717925804084363,1895.52,444325.24,442429.72,233.40809909681775
ese,Grupo ESE,ese,ESE,2011,2022,0.022892694270786145,0.04756851604278075,0.024675821771994604,1.0778906790138696,3840.87,336177.19,332336.32,86.52631304886654
ess,Grupo ESS,ess,ESS,2011,2022,0.0043810669186496,0.037636862286789134,0.03325579536813954,7.590798311382596,576.75,198050.91,197474.16,342.3912613784135
eto,Grupo ETO,eto,ETO,2011,2022,0.011316542424203544,0.0385993774293963,0.027282835005192754,2.41088081345773,4070.9700000000003,302764.81,298693.84,73.37166326452909
hidropan,Grupo Hidropan,hidropan,HIDROPAN,2011,2023,0.0,0.0021285653469561515,0.0021285653469561515,,0.0,33.26,33.26,
light,Grupo Light,light_sesa,LIGHT SESA,2011,2023,0.015382108522079193,0.006142189161805149,-0.009239919360274042,-0.6006926389195106,96.12,86114.81,86018.69,894.9093841032043
mesa,Grupo MESA,mesa,MESA,2011,2023,0.1387862627301057,0.010618460582202425,-0.12816780214790327,-0.9234905503374502,115204.76,333915.67,218710.90999999997,1.89845376180637
muxenergia,Grupo Muxenergia,muxenergia,MUXENERGIA,2011,2023,0.004984802431610942,0.0006464124111182935,-0.0043383900204926485,-0.8703233638671228,0.0,5.33,5.33,
neoenergia,Grupo Neoenergia,neoenergia_brasilia,Neoenergia Brasília,2011,2023,0.11910416254370342,0.002493848140096885,-0.11661031440360653,-0.9790616206282311,184396.14,237629.5,53233.359999999986,0.28869020794036127
neoenergia,Grupo Neoenergia,neoenergia_pe,Neoenergia PE,2011,2023,0.06390093928909917,0.03462785508755792,-0.029273084201541247,-0.45810100019194755,5744.21,3059090.41,3053346.2,531.551980167856
pacto,Grupo Pacto,pacto_energia_pr,PACTO ENERGIA PR,2011,2023,0.0,0.033022254127781765,0.033022254127781765,,0.0,0.0,0.0,
rge,Grupo RGE,rge,RGE,2011,2018,0.02450959976677356,0.0073631026743761815,-0.017146497092397378,-0.6995829085565906,2591.12,38311.17,35720.049999999996,13.78556377165087
rge,Grupo RGE,rge_sul,RGE SUL,2011,2023,0.035927654767899185,0.0014266417043865677,-0.034501013063512616,-0.9602912654999889,1614.17,94732.99,93118.82,57.68835996208578
sulgipe,Grupo Sulgipe,sulgipe,SULGIPE,2011,2023,0.006696001530514636,0.001229076436848882,-0.005466925093665753,-0.8164462132740256,267.38,253.16,-14.219999999999999,-0.05318273618071656
uhenpal,Grupo Uhenpal,uhenpal,UHENPAL,2011,2023,0.005533596837944664,0.0047169811320754715,-0.0008166157058691927,-0.14757412398921843,123.77,0.0,-123.77,-1.0
