group_id,group_label,distributor_id,distributor_label,ano,meses_com_dados,qtd_serv_realizado,qtd_fora_prazo,compensacao_rs,uc_ativa_media_ano,exposicao_uc_mes,taxa_fora_prazo,fora_prazo_por_100k_uc_mes,compensacao_rs_por_uc_mes,compensacao_media_por_transgressao_rs
ceripa,Grupo Ceripa,ceripa,Ceripa — COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ITAÍ-PARANAPANEMA-AVARÉ,2026,4,12061,2,0.0,,0,0.00016582372937567366,,,0.0
ceris,Grupo Ceris,ceris,Ceris — COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE ITAPECERICA DA SERRA,2023,12,29772,4,4.35,7004.916666666667,84059,0.00013435442697836894,4.7585624382873934,5.17493665163754e-05,1.0875
ceris,Grupo Ceris,ceris,Ceris — COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE ITAPECERICA DA SERRA,2024,12,22972,4,66.98,7085.0,7085,0.00017412502176562773,56.457304163726185,0.00945377558221595,16.745
ceris,Grupo Ceris,ceris,Ceris — COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE ITAPECERICA DA SERRA,2025,12,21153,14,734.26,,0,0.000661844655604406,,,52.44714285714286
ceris,Grupo Ceris,ceris,Ceris — COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE ITAPECERICA DA SERRA,2026,4,7529,7,450.11,,0,0.0009297383450657458,,,64.30142857142857
cermc,Grupo Cermc,cermc,Cermc — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI DAS CRUZES,2023,12,10707,50,0.0,3395.3333333333335,40744,0.004669842159335014,122.71745533084625,0.0,0.0
cermc,Grupo Cermc,cermc,Cermc — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI DAS CRUZES,2024,12,11145,28,0.0,,0,0.002512337371018394,,,0.0
cermc,Grupo Cermc,cermc,Cermc — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI DAS CRUZES,2025,12,14094,19,0.0,,0,0.0013480913864055628,,,0.0
cermc,Grupo Cermc,cermc,Cermc — COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI DAS CRUZES,2026,2,3337,2,0.0,,0,0.0005993407252022775,,,0.0
cermissoes,Grupo Cermissoes,cermissoes,Cermissões — COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES,2023,12,88332,218,52555.5,28406.916666666668,340883,0.002467961780555178,63.95156109280897,0.15417459949601475,241.0802752293578
cermissoes,Grupo Cermissoes,cermissoes,Cermissões — COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES,2024,12,77172,177,20364.78,,0,0.0022935779816513763,,,115.05525423728812
cermissoes,Grupo Cermissoes,cermissoes,Cermissões — COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES,2025,12,83616,142,14232.35,,0,0.0016982395713738996,,,100.22781690140846
cermissoes,Grupo Cermissoes,cermissoes,Cermissões — COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES,2026,4,25797,21,1523.12,,0,0.000814048145133155,,,72.52952380952381
cermoful,Grupo Cermoful,cermoful,Cermoful — COOPERATIVA FUMACENSE DE ELETRICIDADE,2023,12,39427,54,1457.5700000000002,16113.818181818182,177252,0.0013696198036878282,30.465100534831766,0.008223151219732359,26.99203703703704
